tweet_id,keyword,location,tweet_text,target,sentiment,sentiment_score,sentiment_negative,sentiment_neutral,sentiment_positive
0,ablaze,Unknown,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,Negative,-0.8066755686886609,0.8129079937934875,0.18085956573486328,0.006232425104826689
1,ablaze,Unknown,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,Negative,-0.5914519159123302,0.5995851755142212,0.39228156208992004,0.00813325960189104
2,ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,Negative,-0.6939500253647566,0.7047508358955383,0.28444844484329224,0.010800810530781746
3,ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,Negative,-0.7118101781234145,0.7227420210838318,0.26632606983184814,0.01093184296041727
4,ablaze,Unknown,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,Positive,0.9357726839371026,0.005517515819519758,0.05319230258464813,0.9412901997566223
5,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,Negative,-0.8932938193902373,0.9008026123046875,0.0916886031627655,0.007508792914450169
6,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,Negative,-0.7148091150447726,0.722685694694519,0.269437700510025,0.007876579649746418
7,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,Negative,-0.671191664878279,0.678776741027832,0.31363818049430847,0.0075850761495530605
8,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,Positive,0.646692737005651,0.006365613080561161,0.3405759632587433,0.6530583500862122
9,ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,Neutral,0.031574711203575134,0.06583476811647415,0.8367557525634766,0.09740947932004929
